At time 0.29: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 0
At time 73.62: Arrival, Queue 1 Length: 1119, Queue 2 Length: 2
At time 73.63: Arrival, Queue 1 Length: 1120, Queue 2 Length: 2
At time 73.64: Arrival, Queue 1 Length: 1121, Queue 2 Length: 2
At time 74.01: Arrival, Queue 1 Length: 1122, Queue 2 Length: 2
At time 74.09: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 2
At time 74.20: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 1
At time 74.33: Service-2 Finished, Queue 1 Length: 1122, Queue 2 Length: 2
At time 74.55: Arrival, Queue 1 Length: 1122, Queue 2 Length: 1
At time 74.68: Arrival, Queue 1 Length: 1123, Queue 2 Length: 1
At time 74.69: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 1
At time 74.70: Arrival, Queue 1 Length: 1124, Queue 2 Length: 0
At time 74.86: Service-1 Finished, Queue 1 Length: 1125, Queue 2 Length: 0
At time 74.87: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 1
At time 75.03: Arrival, Queue 1 Length: 1124, Queue 2 Length: 0
At time 75.21: Service-1 Finished, Queue 1 Length: 1125, Queue 2 Length: 0
At time 75.48: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 1
At time 75.55: Arrival, Queue 1 Length: 1123, Queue 2 Length: 2
At time 75.74: Arrival, Queue 1 Length: 1124, Queue 2 Length: 2
At time 75.94: Arrival, Queue 1 Length: 1125, Queue 2 Length: 2
At time 76.00: Service-2 Finished, Queue 1 Length: 1126, Queue 2 Length: 2
At time 76.14: Service-1 Finished, Queue 1 Length: 1126, Queue 2 Length: 1
At time 76.16: Service-1 Finished, Queue 1 Length: 1125, Queue 2 Length: 2
At time 76.17: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 3
At time 76.21: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 4
At time 76.26: Arrival, Queue 1 Length: 1122, Queue 2 Length: 5
At time 76.28: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 5
At time 76.38: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 4
At time 76.69: Service-2 Finished, Queue 1 Length: 1122, Queue 2 Length: 5
At time 76.80: Arrival, Queue 1 Length: 1122, Queue 2 Length: 4
At time 76.90: Arrival, Queue 1 Length: 1123, Queue 2 Length: 4
At time 76.92: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 4
At time 76.99: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 5
At time 76.99: Service-1 Finished, Queue 1 Length: 1122, Queue 2 Length: 6
At time 77.08: Service-1 Finished, Queue 1 Length: 1121, Queue 2 Length: 7
At time 77.24: Service-2 Finished, Queue 1 Length: 1120, Queue 2 Length: 8
At time 77.34: Arrival, Queue 1 Length: 1120, Queue 2 Length: 7
At time 77.38: Service-2 Finished, Queue 1 Length: 1121, Queue 2 Length: 7
At time 77.39: Service-1 Finished, Queue 1 Length: 1121, Queue 2 Length: 6
At time 77.56: Arrival, Queue 1 Length: 1120, Queue 2 Length: 7
At time 77.61: Arrival, Queue 1 Length: 1121, Queue 2 Length: 7
At time 77.69: Arrival, Queue 1 Length: 1122, Queue 2 Length: 7
At time 77.73: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 7
At time 77.73: Service-2 Finished, Queue 1 Length: 1122, Queue 2 Length: 8
At time 77.81: Arrival, Queue 1 Length: 1122, Queue 2 Length: 7
At time 77.84: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 7
At time 77.86: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 6
At time 77.97: Arrival, Queue 1 Length: 1123, Queue 2 Length: 5
At time 78.13: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 5
At time 78.20: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 4
At time 78.27: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 3
At time 78.31: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 4
At time 78.44: Arrival, Queue 1 Length: 1123, Queue 2 Length: 3
At time 78.45: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 3
At time 78.49: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 2
At time 78.51: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 3
At time 78.53: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 2
At time 78.68: Service-1 Finished, Queue 1 Length: 1122, Queue 2 Length: 3
At time 78.74: Service-2 Finished, Queue 1 Length: 1121, Queue 2 Length: 4
At time 78.84: Service-1 Finished, Queue 1 Length: 1121, Queue 2 Length: 3
At time 78.87: Service-2 Finished, Queue 1 Length: 1120, Queue 2 Length: 4
At time 78.96: Service-2 Finished, Queue 1 Length: 1120, Queue 2 Length: 3
At time 78.96: Service-2 Finished, Queue 1 Length: 1120, Queue 2 Length: 2
At time 79.01: Arrival, Queue 1 Length: 1120, Queue 2 Length: 1
At time 79.03: Service-2 Finished, Queue 1 Length: 1121, Queue 2 Length: 1
At time 79.06: Service-1 Finished, Queue 1 Length: 1121, Queue 2 Length: 0
At time 79.11: Service-2 Finished, Queue 1 Length: 1120, Queue 2 Length: 1
At time 79.11: Service-1 Finished, Queue 1 Length: 1120, Queue 2 Length: 0
At time 79.12: Service-2 Finished, Queue 1 Length: 1119, Queue 2 Length: 1
At time 79.36: Service-1 Finished, Queue 1 Length: 1119, Queue 2 Length: 0
At time 79.57: Service-1 Finished, Queue 1 Length: 1118, Queue 2 Length: 1
At time 79.57: Arrival, Queue 1 Length: 1117, Queue 2 Length: 2
At time 79.57: Arrival, Queue 1 Length: 1118, Queue 2 Length: 2
At time 79.58: Arrival, Queue 1 Length: 1119, Queue 2 Length: 2
At time 79.59: Service-1 Finished, Queue 1 Length: 1120, Queue 2 Length: 2
At time 79.73: Arrival, Queue 1 Length: 1119, Queue 2 Length: 3
At time 79.78: Service-2 Finished, Queue 1 Length: 1120, Queue 2 Length: 3
At time 79.85: Arrival, Queue 1 Length: 1120, Queue 2 Length: 2
At time 79.90: Arrival, Queue 1 Length: 1121, Queue 2 Length: 2
At time 79.96: Service-1 Finished, Queue 1 Length: 1122, Queue 2 Length: 2
At time 79.99: Service-1 Finished, Queue 1 Length: 1121, Queue 2 Length: 3
At time 80.16: Arrival, Queue 1 Length: 1120, Queue 2 Length: 4
At time 80.20: Service-1 Finished, Queue 1 Length: 1121, Queue 2 Length: 4
At time 80.23: Arrival, Queue 1 Length: 1120, Queue 2 Length: 5
At time 80.23: Arrival, Queue 1 Length: 1121, Queue 2 Length: 5
At time 80.25: Arrival, Queue 1 Length: 1122, Queue 2 Length: 5
At time 80.31: Arrival, Queue 1 Length: 1123, Queue 2 Length: 5
At time 80.44: Arrival, Queue 1 Length: 1124, Queue 2 Length: 5
At time 80.47: Service-2 Finished, Queue 1 Length: 1125, Queue 2 Length: 5
At time 80.70: Service-1 Finished, Queue 1 Length: 1125, Queue 2 Length: 4
At time 80.73: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 5
At time 80.77: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 4
At time 80.79: Service-1 Finished, Queue 1 Length: 1123, Queue 2 Length: 5
At time 80.83: Arrival, Queue 1 Length: 1122, Queue 2 Length: 6
At time 80.93: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 6
At time 80.95: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 5
At time 81.04: Service-2 Finished, Queue 1 Length: 1123, Queue 2 Length: 4
At time 81.06: Arrival, Queue 1 Length: 1123, Queue 2 Length: 3
At time 81.15: Service-1 Finished, Queue 1 Length: 1124, Queue 2 Length: 3
At time 81.46: Arrival, Queue 1 Length: 1123, Queue 2 Length: 4
At time 81.58: Arrival, Queue 1 Length: 1124, Queue 2 Length: 4
At time 81.67: Service-1 Finished, Queue 1 Length: 1125, Queue 2 Length: 4
At time 81.70: Service-2 Finished, Queue 1 Length: 1124, Queue 2 Length: 5
At time 81.75: Arrival, Queue 1 Length: 1124, Queue 2 Length: 4
At time 81.81: Service-2 Finished, Queue 1 Length: 1125, Queue 2 Length: 4
At time 81.87: Arrival, Queue 1 Length: 1125, Queue 2 Length: 3
At time 82.14: Arrival, Queue 1 Length: 1126, Queue 2 Length: 3
At time 82.16: Service-2 Finished, Queue 1 Length: 1127, Queue 2 Length: 3
At time 82.24: Arrival, Queue 1 Length: 1127, Queue 2 Length: 2
At time 82.26: Service-1 Finished, Queue 1 Length: 1128, Queue 2 Length: 2
At time 82.37: Arrival, Queue 1 Length: 1127, Queue 2 Length: 3
At time 82.41: Service-2 Finished, Queue 1 Length: 1128, Queue 2 Length: 3
At time 82.42: Service-1 Finished, Queue 1 Length: 1128, Queue 2 Length: 2
At time 82.62: Service-2 Finished, Queue 1 Length: 1127, Queue 2 Length: 3
At time 82.73: Service-2 Finished, Queue 1 Length: 1127, Queue 2 Length: 2
At time 82.73: Arrival, Queue 1 Length: 1127, Queue 2 Length: 1
At time 82.83: Arrival, Queue 1 Length: 1128, Queue 2 Length: 1
At time 83.04: Service-2 Finished, Queue 1 Length: 1129, Queue 2 Length: 1
At time 83.21: Service-1 Finished, Queue 1 Length: 1129, Queue 2 Length: 0
At time 83.27: Arrival, Queue 1 Length: 1128, Queue 2 Length: 1
At time 83.33: Arrival, Queue 1 Length: 1129, Queue 2 Length: 1
At time 83.35: Service-1 Finished, Queue 1 Length: 1130, Queue 2 Length: 1
At time 83.35: Service-2 Finished, Queue 1 Length: 1129, Queue 2 Length: 2
At time 83.61: Service-2 Finished, Queue 1 Length: 1129, Queue 2 Length: 1
At time 83.72: Service-1 Finished, Queue 1 Length: 1129, Queue 2 Length: 0
At time 83.78: Arrival, Queue 1 Length: 1128, Queue 2 Length: 1
At time 83.79: Arrival, Queue 1 Length: 1129, Queue 2 Length: 1
At time 83.82: Arrival, Queue 1 Length: 1130, Queue 2 Length: 1
At time 83.83: Service-1 Finished, Queue 1 Length: 1131, Queue 2 Length: 1
At time 83.85: Service-2 Finished, Queue 1 Length: 1130, Queue 2 Length: 2
At time 83.90: Arrival, Queue 1 Length: 1130, Queue 2 Length: 1
At time 84.00: Arrival, Queue 1 Length: 1131, Queue 2 Length: 1
At time 84.10: Arrival, Queue 1 Length: 1132, Queue 2 Length: 1
At time 84.15: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 84.18: Arrival, Queue 1 Length: 1133, Queue 2 Length: 0
At time 84.20: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 0
At time 84.26: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 84.30: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 2
At time 84.32: Arrival, Queue 1 Length: 1131, Queue 2 Length: 3
At time 84.33: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 3
At time 84.35: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 2
At time 84.36: Service-2 Finished, Queue 1 Length: 1131, Queue 2 Length: 3
At time 84.42: Arrival, Queue 1 Length: 1131, Queue 2 Length: 2
At time 84.43: Arrival, Queue 1 Length: 1132, Queue 2 Length: 2
At time 84.56: Arrival, Queue 1 Length: 1133, Queue 2 Length: 2
At time 84.58: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 2
At time 84.75: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 1
At time 84.83: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 0
At time 84.89: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 84.90: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 0
At time 84.93: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 1
At time 85.06: Arrival, Queue 1 Length: 1131, Queue 2 Length: 2
At time 85.24: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 2
At time 85.29: Service-2 Finished, Queue 1 Length: 1131, Queue 2 Length: 3
At time 85.32: Service-2 Finished, Queue 1 Length: 1131, Queue 2 Length: 2
At time 85.45: Arrival, Queue 1 Length: 1131, Queue 2 Length: 1
At time 85.56: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 1
At time 85.57: Arrival, Queue 1 Length: 1132, Queue 2 Length: 0
At time 85.58: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 0
At time 85.60: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 1
At time 85.93: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 0
At time 86.03: Service-2 Finished, Queue 1 Length: 1131, Queue 2 Length: 1
At time 86.16: Service-1 Finished, Queue 1 Length: 1131, Queue 2 Length: 0
At time 86.21: Arrival, Queue 1 Length: 1130, Queue 2 Length: 1
At time 86.21: Arrival, Queue 1 Length: 1131, Queue 2 Length: 1
At time 86.24: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 1
At time 86.30: Service-1 Finished, Queue 1 Length: 1131, Queue 2 Length: 2
At time 86.41: Service-2 Finished, Queue 1 Length: 1130, Queue 2 Length: 3
At time 86.50: Service-2 Finished, Queue 1 Length: 1130, Queue 2 Length: 2
At time 86.54: Arrival, Queue 1 Length: 1130, Queue 2 Length: 1
At time 86.60: Arrival, Queue 1 Length: 1131, Queue 2 Length: 1
At time 86.76: Arrival, Queue 1 Length: 1132, Queue 2 Length: 1
At time 86.80: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 86.81: Arrival, Queue 1 Length: 1132, Queue 2 Length: 2
At time 87.20: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 2
At time 87.44: Arrival, Queue 1 Length: 1133, Queue 2 Length: 1
At time 87.51: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 1
At time 87.85: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 0
At time 87.87: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 88.42: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 0
At time 88.43: Service-1 Finished, Queue 1 Length: 1132, Queue 2 Length: 1
At time 88.65: Service-1 Finished, Queue 1 Length: 1131, Queue 2 Length: 2
At time 88.70: Arrival, Queue 1 Length: 1130, Queue 2 Length: 3
At time 88.71: Service-2 Finished, Queue 1 Length: 1131, Queue 2 Length: 3
At time 88.80: Arrival, Queue 1 Length: 1131, Queue 2 Length: 2
At time 88.87: Arrival, Queue 1 Length: 1132, Queue 2 Length: 2
At time 88.90: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 2
At time 88.92: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 3
At time 88.93: Arrival, Queue 1 Length: 1132, Queue 2 Length: 2
At time 89.00: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 2
At time 89.06: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 3
At time 89.17: Arrival, Queue 1 Length: 1132, Queue 2 Length: 2
At time 89.26: Arrival, Queue 1 Length: 1133, Queue 2 Length: 2
At time 89.37: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 2
At time 89.49: Arrival, Queue 1 Length: 1134, Queue 2 Length: 1
At time 89.51: Service-2 Finished, Queue 1 Length: 1135, Queue 2 Length: 1
At time 89.62: Arrival, Queue 1 Length: 1135, Queue 2 Length: 0
At time 89.72: Service-1 Finished, Queue 1 Length: 1136, Queue 2 Length: 0
At time 89.89: Service-1 Finished, Queue 1 Length: 1135, Queue 2 Length: 1
At time 89.95: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 2
At time 89.95: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 3
At time 89.96: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 2
At time 89.96: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 89.98: Arrival, Queue 1 Length: 1133, Queue 2 Length: 0
At time 90.11: Arrival, Queue 1 Length: 1134, Queue 2 Length: 0
At time 90.12: Arrival, Queue 1 Length: 1135, Queue 2 Length: 0
At time 90.23: Service-1 Finished, Queue 1 Length: 1136, Queue 2 Length: 0
At time 90.24: Arrival, Queue 1 Length: 1135, Queue 2 Length: 1
At time 90.27: Service-2 Finished, Queue 1 Length: 1136, Queue 2 Length: 1
At time 90.28: Service-1 Finished, Queue 1 Length: 1136, Queue 2 Length: 0
At time 90.35: Service-1 Finished, Queue 1 Length: 1135, Queue 2 Length: 1
At time 90.38: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 2
At time 90.40: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 1
At time 90.42: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 0
At time 90.44: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 1
At time 90.51: Arrival, Queue 1 Length: 1132, Queue 2 Length: 2
At time 90.53: Arrival, Queue 1 Length: 1133, Queue 2 Length: 2
At time 90.54: Arrival, Queue 1 Length: 1134, Queue 2 Length: 2
At time 90.59: Service-1 Finished, Queue 1 Length: 1135, Queue 2 Length: 2
At time 90.67: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 3
At time 90.68: Arrival, Queue 1 Length: 1134, Queue 2 Length: 2
At time 90.70: Arrival, Queue 1 Length: 1135, Queue 2 Length: 2
At time 90.76: Service-1 Finished, Queue 1 Length: 1136, Queue 2 Length: 2
At time 90.76: Service-2 Finished, Queue 1 Length: 1135, Queue 2 Length: 3
At time 90.80: Arrival, Queue 1 Length: 1135, Queue 2 Length: 2
At time 90.84: Arrival, Queue 1 Length: 1136, Queue 2 Length: 2
At time 90.88: Service-2 Finished, Queue 1 Length: 1137, Queue 2 Length: 2
At time 91.02: Arrival, Queue 1 Length: 1137, Queue 2 Length: 1
At time 91.15: Arrival, Queue 1 Length: 1138, Queue 2 Length: 1
At time 91.19: Service-2 Finished, Queue 1 Length: 1139, Queue 2 Length: 1
At time 91.26: Arrival, Queue 1 Length: 1139, Queue 2 Length: 0
At time 91.30: Service-1 Finished, Queue 1 Length: 1140, Queue 2 Length: 0
At time 91.43: Arrival, Queue 1 Length: 1139, Queue 2 Length: 1
At time 91.46: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 1
At time 91.62: Arrival, Queue 1 Length: 1140, Queue 2 Length: 0
At time 91.87: Service-1 Finished, Queue 1 Length: 1141, Queue 2 Length: 0
At time 91.95: Service-1 Finished, Queue 1 Length: 1140, Queue 2 Length: 1
At time 92.01: Arrival, Queue 1 Length: 1139, Queue 2 Length: 2
At time 92.09: Service-1 Finished, Queue 1 Length: 1140, Queue 2 Length: 2
At time 92.12: Arrival, Queue 1 Length: 1139, Queue 2 Length: 3
At time 92.18: Arrival, Queue 1 Length: 1140, Queue 2 Length: 3
At time 92.18: Service-2 Finished, Queue 1 Length: 1141, Queue 2 Length: 3
At time 92.24: Arrival, Queue 1 Length: 1141, Queue 2 Length: 2
At time 92.28: Arrival, Queue 1 Length: 1142, Queue 2 Length: 2
At time 92.33: Service-2 Finished, Queue 1 Length: 1143, Queue 2 Length: 2
At time 92.36: Arrival, Queue 1 Length: 1143, Queue 2 Length: 1
At time 92.43: Service-1 Finished, Queue 1 Length: 1144, Queue 2 Length: 1
At time 92.44: Arrival, Queue 1 Length: 1143, Queue 2 Length: 2
At time 92.51: Service-2 Finished, Queue 1 Length: 1144, Queue 2 Length: 2
At time 92.74: Service-2 Finished, Queue 1 Length: 1144, Queue 2 Length: 1
At time 92.92: Arrival, Queue 1 Length: 1144, Queue 2 Length: 0
At time 93.05: Service-1 Finished, Queue 1 Length: 1145, Queue 2 Length: 0
At time 93.07: Service-2 Finished, Queue 1 Length: 1144, Queue 2 Length: 1
At time 93.31: Service-1 Finished, Queue 1 Length: 1144, Queue 2 Length: 0
At time 93.32: Arrival, Queue 1 Length: 1143, Queue 2 Length: 1
At time 93.39: Arrival, Queue 1 Length: 1144, Queue 2 Length: 1
At time 93.51: Arrival, Queue 1 Length: 1145, Queue 2 Length: 1
At time 93.63: Service-1 Finished, Queue 1 Length: 1146, Queue 2 Length: 1
At time 93.64: Service-1 Finished, Queue 1 Length: 1145, Queue 2 Length: 2
At time 93.65: Service-2 Finished, Queue 1 Length: 1144, Queue 2 Length: 3
At time 93.78: Service-1 Finished, Queue 1 Length: 1144, Queue 2 Length: 2
At time 94.03: Service-1 Finished, Queue 1 Length: 1143, Queue 2 Length: 3
At time 94.14: Arrival, Queue 1 Length: 1142, Queue 2 Length: 4
At time 94.16: Service-1 Finished, Queue 1 Length: 1143, Queue 2 Length: 4
At time 94.27: Service-1 Finished, Queue 1 Length: 1142, Queue 2 Length: 5
At time 94.35: Arrival, Queue 1 Length: 1141, Queue 2 Length: 6
At time 94.39: Service-2 Finished, Queue 1 Length: 1142, Queue 2 Length: 6
At time 94.47: Service-1 Finished, Queue 1 Length: 1142, Queue 2 Length: 5
At time 94.58: Service-1 Finished, Queue 1 Length: 1141, Queue 2 Length: 6
At time 94.60: Arrival, Queue 1 Length: 1140, Queue 2 Length: 7
At time 94.62: Service-2 Finished, Queue 1 Length: 1141, Queue 2 Length: 7
At time 94.80: Service-2 Finished, Queue 1 Length: 1141, Queue 2 Length: 6
At time 94.84: Service-1 Finished, Queue 1 Length: 1141, Queue 2 Length: 5
At time 94.85: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 6
At time 94.89: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 5
At time 94.91: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 4
At time 95.02: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 3
At time 95.13: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 2
At time 95.23: Service-2 Finished, Queue 1 Length: 1140, Queue 2 Length: 1
At time 95.37: Arrival, Queue 1 Length: 1140, Queue 2 Length: 0
At time 95.50: Arrival, Queue 1 Length: 1141, Queue 2 Length: 0
At time 95.53: Service-1 Finished, Queue 1 Length: 1142, Queue 2 Length: 0
At time 95.54: Arrival, Queue 1 Length: 1141, Queue 2 Length: 1
At time 95.73: Arrival, Queue 1 Length: 1142, Queue 2 Length: 1
At time 95.74: Service-1 Finished, Queue 1 Length: 1143, Queue 2 Length: 1
At time 95.78: Service-1 Finished, Queue 1 Length: 1142, Queue 2 Length: 2
At time 95.89: Service-1 Finished, Queue 1 Length: 1141, Queue 2 Length: 3
At time 95.97: Service-1 Finished, Queue 1 Length: 1140, Queue 2 Length: 4
At time 96.01: Service-1 Finished, Queue 1 Length: 1139, Queue 2 Length: 5
At time 96.07: Service-1 Finished, Queue 1 Length: 1138, Queue 2 Length: 6
At time 96.10: Service-1 Finished, Queue 1 Length: 1137, Queue 2 Length: 7
At time 96.17: Service-2 Finished, Queue 1 Length: 1136, Queue 2 Length: 8
At time 96.18: Service-1 Finished, Queue 1 Length: 1136, Queue 2 Length: 7
At time 96.22: Service-1 Finished, Queue 1 Length: 1135, Queue 2 Length: 8
At time 96.25: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 9
At time 96.26: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 8
At time 96.27: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 7
At time 96.27: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 6
At time 96.40: Arrival, Queue 1 Length: 1134, Queue 2 Length: 5
At time 96.51: Service-1 Finished, Queue 1 Length: 1135, Queue 2 Length: 5
At time 96.60: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 6
At time 96.61: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 7
At time 96.65: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 8
At time 96.68: Arrival, Queue 1 Length: 1132, Queue 2 Length: 7
At time 96.68: Arrival, Queue 1 Length: 1133, Queue 2 Length: 7
At time 96.68: Arrival, Queue 1 Length: 1134, Queue 2 Length: 7
At time 96.70: Service-2 Finished, Queue 1 Length: 1135, Queue 2 Length: 7
At time 96.88: Service-1 Finished, Queue 1 Length: 1135, Queue 2 Length: 6
At time 96.92: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 7
At time 97.00: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 6
At time 97.13: Service-1 Finished, Queue 1 Length: 1134, Queue 2 Length: 5
At time 97.39: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 6
At time 97.39: Arrival, Queue 1 Length: 1132, Queue 2 Length: 7
At time 97.46: Service-2 Finished, Queue 1 Length: 1133, Queue 2 Length: 7
At time 97.54: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 6
At time 97.55: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 7
At time 97.67: Arrival, Queue 1 Length: 1132, Queue 2 Length: 6
At time 97.74: Service-1 Finished, Queue 1 Length: 1133, Queue 2 Length: 6
At time 97.78: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 7
At time 97.87: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 6
At time 97.89: Service-2 Finished, Queue 1 Length: 1132, Queue 2 Length: 5
At time 97.92: Arrival, Queue 1 Length: 1132, Queue 2 Length: 4
At time 98.33: Arrival, Queue 1 Length: 1133, Queue 2 Length: 4
At time 98.43: Service-2 Finished, Queue 1 Length: 1134, Queue 2 Length: 4
At time 98.46: Arrival, Queue 1 Length: 1134, Queue 2 Length: 3
At time 98.47: Arrival, Queue 1 Length: 1135, Queue 2 Length: 3
At time 98.51: Arrival, Queue 1 Length: 1136, Queue 2 Length: 3
At time 98.77: Service-1 Finished, Queue 1 Length: 1137, Queue 2 Length: 3
At time 98.80: Service-2 Finished, Queue 1 Length: 1136, Queue 2 Length: 4
At time 98.96: Arrival, Queue 1 Length: 1136, Queue 2 Length: 3
At time 99.01: Arrival, Queue 1 Length: 1137, Queue 2 Length: 3
At time 99.16: Service-2 Finished, Queue 1 Length: 1138, Queue 2 Length: 3
At time 99.25: Arrival, Queue 1 Length: 1138, Queue 2 Length: 2
At time 99.29: Service-1 Finished, Queue 1 Length: 1139, Queue 2 Length: 2
At time 99.36: Service-2 Finished, Queue 1 Length: 1138, Queue 2 Length: 3
At time 99.37: Arrival, Queue 1 Length: 1138, Queue 2 Length: 2
At time 99.44: Service-1 Finished, Queue 1 Length: 1139, Queue 2 Length: 2
At time 99.48: Service-1 Finished, Queue 1 Length: 1138, Queue 2 Length: 3
At time 99.55: Arrival, Queue 1 Length: 1137, Queue 2 Length: 4
At time 99.80: Arrival, Queue 1 Length: 1138, Queue 2 Length: 4
At time 99.86: Service-1 Finished, Queue 1 Length: 1139, Queue 2 Length: 4
At time 99.87: Service-2 Finished, Queue 1 Length: 1138, Queue 2 Length: 5
At time 100.00: Service-2 Finished, Queue 1 Length: 1138, Queue 2 Length: 4
At time 100.13: Arrival, Queue 1 Length: 1138, Queue 2 Length: 3
At time 100.20: Arrival, Queue 1 Length: 1139, Queue 2 Length: 3
At time 100.30: Service-1 Finished, Queue 1 Length: 1140, Queue 2 Length: 3
At time 100.53: Arrival, Queue 1 Length: 1139, Queue 2 Length: 4
At time 100.55: Arrival, Queue 1 Length: 1140, Queue 2 Length: 4
At time 100.56: Service-1 Finished, Queue 1 Length: 1141, Queue 2 Length: 4
At time 100.66: Arrival, Queue 1 Length: 1140, Queue 2 Length: 5
At time 100.70: Service-2 Finished, Queue 1 Length: 1141, Queue 2 Length: 5
At time 100.80: Arrival, Queue 1 Length: 1141, Queue 2 Length: 4
At time 100.93: Service-1 Finished, Queue 1 Length: 1142, Queue 2 Length: 4
At time 101.03: Service-2 Finished, Queue 1 Length: 1141, Queue 2 Length: 5
